channel,url,inc,avg,diff,time
destiny,https://clips.twitch.tv/CooperativeDarkGrasshopperAMPEnergyCherry-DWMWItKzIFWpkVYz/edit,94,51.57,1.82,2022-03-04 04:14:14.259872
destiny,https://clips.twitch.tv/IronicBrainyCarabeefWOOP-eh0Nn6bSyOgqIoMU/edit,63,34.88,1.81,2022-03-04 04:15:26.338869
destiny,https://clips.twitch.tv/CreativeImpartialMooseOSkomodo-4MqEfFZuECROlg2B/edit,170,77.76,2.19,2022-03-04 04:15:47.091939
destiny,https://clips.twitch.tv/WittyMuddyEndiveUncleNox-oKpfo47oHZYzTdBa/edit,89,59.02,1.51,2022-03-04 04:20:30.145687
destiny,https://clips.twitch.tv/DifficultBumblingSardineAsianGlow-1CGwPGVAbhHrGzda/edit,69,48.92,1.41,2022-03-04 04:22:24.065095
destiny,https://clips.twitch.tv/ChillyColorfulNightingaleCoolStoryBob-avkcrvreh1161Uvc/edit,72,49.39,1.46,2022-03-04 04:24:51.189478
destiny,https://clips.twitch.tv/SolidCharmingBeanTF2John-lXn3KfaTwpU9Doas/edit,87,60.65,1.43,2022-03-04 04:25:23.014389
destiny,https://clips.twitch.tv/CoweringSingleApeArsonNoSexy-GfMVV40abKJVE3ue/edit,138,86.02,1.6,2022-03-04 04:25:43.906044
destiny,https://clips.twitch.tv/ObservantFrozenMonitorCoolStoryBob-Z9OoZpyQmlmyKIEh/edit,84,58.92,1.43,2022-03-04 04:28:42.919110
destiny,https://clips.twitch.tv/PricklyPlainEggnogDBstyle-j78jCYTzA34DtwXA/edit,124,87.51,1.42,2022-03-04 04:29:25.782997
destiny,https://clips.twitch.tv/AltruisticEphemeralCattleDeIlluminati-uoKthd0kJmf416Go/edit,87,61.59,1.41,2022-03-04 04:31:13.832876
destiny,https://clips.twitch.tv/SeductiveBovinePandaStrawBeary-3p5qtJprvrh6LQrK/edit,86,58.8,1.46,2022-03-04 04:32:48.769559
destiny,https://clips.twitch.tv/HumbleSplendidGooseDxAbomb-7OCxWYk0r9UI23Fd/edit,51,34.02,1.5,2022-03-04 04:35:05.858164
destiny,https://clips.twitch.tv/RelatedSillyPuddingHumbleLife-vYbXl0llAwVanHEK/edit,114,62.65,1.82,2022-03-04 04:35:26.865029
destiny,https://clips.twitch.tv/SpicyRelatedNewtPeoplesChamp-SYVcwsmb_45w1IdT/edit,123,83.1,1.48,2022-03-04 04:36:44.940187
destiny,https://clips.twitch.tv/FlaccidCutePieBudStar-MaC0Xrw0DXZeY5KJ/edit,114,80.57,1.41,2022-03-04 04:37:55.972104
destiny,https://clips.twitch.tv/JoyousAstuteMangetoutDatSheffy-52Nh26GzttUPk91Q/edit,85,57.69,1.47,2022-03-04 04:40:19.968673
destiny,https://clips.twitch.tv/PunchyCredulousYakinikuPeanutButterJellyTime-io-JkFH-hdEa0kji/edit,82,57.12,1.44,2022-03-04 04:44:01.134963
destiny,https://clips.twitch.tv/RoughBlightedLyrebirdMrDestructoid-CR-U-R_79y3z_IpL/edit,108,71.82,1.5,2022-03-04 04:44:21.916206
destiny,https://clips.twitch.tv/PreciousAbnegateOrangeSoBayed-xW30WhXYFgDIUcDu/edit,71,48.06,1.48,2022-03-04 04:46:22.907492
destiny,https://clips.twitch.tv/LazyMagnificentHerbsTheRinger-B5hTWibPIWpzxxsE/edit,53,36.59,1.45,2022-03-04 04:48:19.908515
destiny,https://clips.twitch.tv/HotCrunchyLyrebirdPoooound-3P3-7vU3yQAhLFmr/edit,47,31.51,1.49,2022-03-04 04:50:33.925263
destiny,https://clips.twitch.tv/RepletePreciousTildeDeIlluminati-jKSFvHIjSoJGZkMx/edit,81,57.2,1.42,2022-03-04 04:51:31.789526
destiny,https://clips.twitch.tv/AliveAmericanLemurSMOrc-sC8rb-hJeHUTnQkt/edit,70,45.29,1.55,2022-03-04 04:53:16.912925
destiny,https://clips.twitch.tv/ProductiveVenomousWebBibleThump-s22PWnlECXPdC3o3/edit,60,41.96,1.43,2022-03-04 04:56:15.880940
destiny,https://clips.twitch.tv/AbnegateEntertainingPuffinKappaRoss-Wvd4Y5XSBfUGXXbw/edit,57,38.49,1.48,2022-03-04 04:58:41.815688
